Ag0.002Al0.998,1.13
Ag0.005Zn0.995,0.76
Ag0.035Cd0.01Sn0.955,3.65
Ag0.03Tl0.97,2.67
Ag0.05Rh0.04Ti0.91,1.95
Ag0.12In0.88,4.69
Ag0.15Bi0.85,5.30
Ag0.15Pb0.975Sn0.01,7.25
Ag0.167Al0.833,0.88
Ag0.1In0.9Te1,1.20
Ag0.1Tl0.9,3.57
Ag0.25Cu0.75Ba2Ca3Cu4O11,117.10
Ag0.2In0.8Te1,0.77
Ag0.438Hg0.562,0.64
Ag0.45Ge0.55,1.50
Ag0.625Al0.375,0.11
Ag0.65Al0.35,0.10
Ag0.667Al0.333,0.13
Ag0.6Al0.4,0.09
Ag0.76Sn1.24Se2,6.72
Ag0.775Sn0.225,0.09
Ag0.795Sn0.205,0.09
Ag0.7Al0.3,0.11
Ag0.7Mo3Se4,5.96
Ag0.7Mo4Se5,5.96
Ag0.7Zn0.3,0.01
Ag0.815Sn0.185,0.06
Ag0.81In0.19,0.01
Ag0.81Sn1.19Se2,6.42
Ag0.825Sn0.175,0.06
Ag0.828Ga0.172,0.12
Ag0.82Sn0.18,0.07
Ag0.835Sn0.165,0.05
Ag0.845Sb0.155,0.04
Ag0.845Sn0.155,0.03
Ag0.85Sn1.15Se2,6.18
Ag0.865Sb0.135,0.03
Ag0.875Ga0.125,0.02
Ag0.885Sb0.115,0.02
Ag0.8Ga0.2,6.50
Ag0.92Sn1.08Se2,5.57
Ag0.94Tl0.06,2.32
Ag0.95Sn1.05Se2,5.25
Ag0.9Ga0.1,0.01
Ag0.9Sn1.1Se1.8S0.2,6.79
Ag1.2Mo4.8S6,8.90
Ag1B2,6.70
Ag1Ba2Ca2Cu3O9,110.00
Ag1Ba2Ca3Cu4O11,117.00
Ag1Ba2Ca4Cu5O13,105.00
Ag1Ba2Ca5Cu6O15,80.00
Ag1Bi1,2.78
Ag1Bi2,3.00
Ag1In2,2.35
Ag1La1,1.06
Ag1Mo4S5,7.77
Ag1Mo6S8,7.70
Ag1Nb3,8.28
Ag1Sn1Se1.8S0.2,5.79
Ag1Sn1Se2,4.68
Ag1Te3,2.60
Ag1Tl1,2.67
Ag2F1,0.07
Ag2I1,0.07
Ag2In1,2.11
Ag2Pb3S1,1.13
Ag2Pd3S1,1.13
Ag3.3Al1,0.34
Ag4Ge1,0.85
Ag5Pb2O6,0.05
Ag7B4F4O8,0.15
Ag7F0.25N0.75O10.25,1.04
Ag7F1O8,0.30
Ag7F2H1O8,1.50
Ag7F4O8B1,0.15
Ag7H1F2O8,1.38
Ag7N0.75O10.25F0.25,0.85
Ag7N1O11,1.03
Al0.005V0.995,4.82
Al0.01Au0.92In0.07,0.03
